,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,2.38422163327535,0.1609523496552355,0.004566589991251628,0.0010152013220731477,2.3887882232666016,0.16033440629634566
2,100,megasampler,3,600.0477331479391,0.06750486519016052,0.0013810793558756511,0.0019531411557928437,600.0491142272949,0.06945800634595337
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,4.668315490086873,0.05261622678016257,0.007762988408406575,0.00024578572231820665,4.67607847849528,0.05264335836360324
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,8.176727215449015,0.2455434579582481,0.01288588841756185,0.0004598787379450554,8.189613103866577,0.24595045224281423
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,27.95400842030843,0.5021680670206159,0.03504737218221029,0.0005261819839664638,27.989055792490642,0.5018200178474006
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,76.01816844940186,0.49950090997124935,0.09391538302103679,0.021707855072809295,76.1120838324229,0.512448161262047
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
