,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,112.92837580045064,10.839358126754512,0.0031156539916992188,0.0013227596129872995,112.93149145444234,10.840021075108888
1,100,cmsgen,3,0.9462406635284424,0.017603055302533584,0.002178033192952474,4.0465813363725526e-05,0.9484186967213949,0.0175687439882804
2,100,megasampler,3,600.0218953291575,0.030964671447175685,0.0009704430898030599,0.0013724137791107387,600.0228657722473,0.03233708522628642
3,500,spur,3,108.86021709442139,10.354931587426343,0.0051318009694417315,0.00028365902147390486,108.86534889539082,10.354705103347534
4,500,cmsgen,3,2.288752714792887,0.15871952956844315,0.005144516626993815,0.00032333675320684533,2.2938972314198813,0.15858372896672596
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,124.32651114463806,4.014736416339963,0.008133252461751303,0.0006073813741230147,124.33464439709981,4.015343082053085
7,1000,cmsgen,3,3.534981648127238,0.05684810982528912,0.0075520674387613935,3.000813519449692e-05,3.5425337155659995,0.05684160587560311
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,116.39695692062378,4.053004946668138,0.019452412923177082,0.00013101780051078102,116.41640933354695,4.05313460202133
10,3000,cmsgen,3,10.706889549891153,0.3904710991378621,0.02003590265909831,0.0006590482479168256,10.726925452550253,0.3910876398394677
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,131.26359113057455,10.224146472246655,0.04592339197794596,0.0010653955800175685,131.3095145225525,10.223341975343363
13,7000,cmsgen,3,25.174511194229126,0.9543471523653655,0.04438654581705729,0.0002677941518448057,25.218897740046184,0.9541756308133609
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
