,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,12.007681369781494,0.2533203741651346,0.013253291447957357,0.000134264498409899,12.020934661229452,0.2532960698594678
2,100,megasampler,3,3.2228790124257407,0.014581614314611172,0.012749354044596354,0.0002253718870013703,3.235628366470337,0.01478768539113575
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,25.890250603357952,0.3472402496188687,0.021681785583496094,0.00015988142046519056,25.911932388941448,0.3471900840324713
5,500,megasampler,3,31.837871313095093,0.041742446654172274,0.02048802375793457,0.0010563208265280746,31.858359336853027,0.042350020487218136
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,41.47509344418844,0.9644825005104529,0.053862810134887695,0.02374508302352728,41.528956254323326,0.956027329857737
8,1000,megasampler,3,64.69263982772827,0.4703464594021554,0.031383911768595375,0.00020034447484704656,64.72402373949687,0.4702769569563358
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,96.3339451154073,0.7137309966604207,0.09277780850728352,0.0007170201456020912,96.4267229239146,0.7130529263112309
11,3000,megasampler,3,201.59040411313376,1.3964320123671181,0.08941078186035156,0.0033739719446188657,201.6798148949941,1.3987526495710563
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,209.29251909255981,2.4458920902149,0.24013455708821616,0.0045466642213090975,209.53265364964804,2.442951713235697
14,7000,megasampler,3,487.1642620563507,1.9751452690460605,0.22670753796895346,0.007830051064209156,487.39096959431964,1.9821701070668651
