,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,0.24312639236450195,0.03311025072656754,0.0021557013193766275,0.0007271612492301096,0.24528209368387857,0.033252384004303324
1,100,cmsgen,3,0.1839329401652018,0.00061919572034098,0.0013431708017985027,0.00014471966291099736,0.18527611096700033,0.000658669066702279
2,100,megasampler,3,516.1719645659128,7.064948030764649,0.0014539559682210286,0.0001410012036790879,516.1734185218811,7.065087785237361
3,500,spur,3,0.21573829650878906,0.015337367598332173,0.003255128860473633,5.276866225626287e-05,0.2189934253692627,0.015376213267068837
4,500,cmsgen,3,0.23151262601216635,0.009143129775285218,0.003182649612426758,6.649214485763338e-05,0.2346952756245931,0.009196852667922436
5,500,megasampler,3,600.0093503793081,0.013223433230797966,0.004618326822916667,0.006531300428440197,600.013968706131,0.019754733659238164
6,1000,spur,3,0.24196108182271323,0.01751103518044707,0.007556438446044922,0.0025748344763121753,0.24951752026875815,0.02008367860957879
7,1000,cmsgen,3,0.26223142941792804,0.016078213321606864,0.00637205441792806,0.00023329290114280828,0.26860348383585614,0.015859357300597104
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,0.3027498722076416,0.013175908932581252,0.021408955256144207,0.004355722923235765,0.3241588274637858,0.008823464924455857
10,3000,cmsgen,3,0.41377902030944824,0.03595649836296878,0.018643617630004883,0.0029413311175687544,0.4324226379394531,0.0341258842123175
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,0.4942021369934082,0.051762136531728606,0.035994529724121094,0.0014955219377985568,0.5301966667175293,0.05171326305271194
13,7000,cmsgen,3,0.6923368771870931,0.04868141015064435,0.0378576914469401,0.003877747105921369,0.7301945686340332,0.04656982623193654
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
