,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,15.142326911290487,0.17885979671661725,0.013412793477376303,0.0004401907934473623,15.155739704767862,0.1784211344403764
2,100,megasampler,3,600.0197154680887,0.027881882359694854,0.006381114323933919,0.009024258419960572,600.0260965824127,0.03690614077965543
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,19.3798025449117,0.5380751034251569,0.021551052729288738,0.0016124355654959228,19.40135359764099,0.5365181816278298
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,25.343842267990112,0.13634624091580738,0.032378037770589195,0.0010884724487088663,25.3762203057607,0.13668310471177603
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,51.85277167956034,0.385949976383256,0.09454973538716634,0.000694506795914876,51.94732141494751,0.38619183052360284
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,109.11582318941753,1.5091919409923948,0.252501646677653,0.029808423352632393,109.36832483609517,1.5383910657832356
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
