,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,10.7490607102712,0.6668097557936853,0.0033669471740722656,0.00020310324469780195,10.752427657445272,0.666710744478662
2,100,megasampler,3,600.0181028048197,0.025601232093073353,0.001040061314900716,0.0014708688172321873,600.0191428661346,0.02707210091030554
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,43.41343069076538,0.36093879077268715,0.005846579869588216,2.4897212027487783e-05,43.41927727063497,0.3609616537517274
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,83.18186394373576,3.8640018381271966,0.009406646092732748,3.819677625094728e-05,83.19127058982849,3.864039717211436
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,234.80874713261923,1.4995126280541637,0.026058038075764973,0.0021926135155455836,234.83480517069498,1.4975533496389322
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,569.4700020949045,19.782359221705896,0.06756862004597981,0.010329244298333705,569.5375707149506,19.790915069979103
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
