,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,216.04713972409567,27.617508677814467,0.001777966817220052,8.887468057597012e-06,216.04891769091287,27.617510528221178
1,100,cmsgen,3,0.9007420539855957,0.007315535261930887,0.0017252763112386067,1.7403286113870652e-05,0.9024673302968343,0.007318479462005586
2,100,megasampler,3,600.0198826789856,0.028118354277739975,0.0005898475646972656,0.0008341704257276147,600.0204725265503,0.02895252470346759
3,500,spur,3,241.1350900332133,44.71143879946668,0.0035736560821533203,2.8251008768154074e-05,241.13866368929544,44.71141128095788
4,500,cmsgen,3,1.7784727414449055,0.09194127823653032,0.0034920374552408853,6.07218416096785e-05,1.7819647789001465,0.09188549700716285
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,242.04323053359985,27.368974933157034,0.005939404169718425,3.837691648558831e-05,242.04916993776956,27.368991452155516
7,1000,cmsgen,3,3.1158390045166016,0.11263351716420777,0.005906581878662109,4.995651570781248e-05,3.1217455863952637,0.11263081191156976
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,262.370005607605,13.103226439214371,0.016179323196411133,0.00013118497110019853,262.3861849308014,13.103205507269305
10,3000,cmsgen,3,10.502976814905802,0.5424302813343918,0.016358693440755207,6.902408880878613e-05,10.519335508346558,0.5424647134386799
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,249.39257653554282,8.359459182989617,0.036029815673828125,0.0009938442365254312,249.42860635121664,8.358467080940724
13,7000,cmsgen,3,28.047612190246582,0.5084668446346147,0.03543957074483236,0.0014647630633364216,28.083051760991413,0.5086113591075202
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
