,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
2,100,megasampler,3,1.6848067442576091,0.00658850172295628,0.0069429874420166016,0.00010886934808983105,1.6917497316996257,0.006676939990042197
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
5,500,megasampler,3,16.307991186777752,0.046964694876046514,0.011676152547200521,0.0004707929815787935,16.31966733932495,0.04739352907644017
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
8,1000,megasampler,3,33.431843996047974,0.12511076273062813,0.016724665959676106,0.00012836935921762505,33.44856866200765,0.12498942728955827
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
11,3000,megasampler,3,103.24745265642802,0.2688751495906762,0.041449785232543945,0.0006085109462336776,103.28890244166057,0.2694627082630949
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
14,7000,megasampler,3,254.0388082663218,1.8873375561772423,0.1071467399597168,0.002686963346467772,254.14595500628153,1.8869566729803462
