,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
2,100,megasampler,3,1.230830430984497,0.04697869657779603,0.007307211558024089,0.00023797003620913037,1.2381376425425212,0.047094046062891345
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
5,500,megasampler,3,14.696865717569986,0.23763817831854747,0.014806270599365234,0.004181650380948849,14.711671988169352,0.2417287093302333
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
8,1000,megasampler,3,30.786460717519123,0.2446121248162207,0.017430543899536133,0.0004440754953799312,30.80389126141866,0.24499872166846928
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
11,3000,megasampler,3,101.13386702537537,0.2178993197905426,0.045914411544799805,0.0025345394506438136,101.17978143692017,0.2203116482606815
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
14,7000,megasampler,3,1346.1720232168834,1542.6765338247806,0.11407748858133952,0.0010179829211062331,1346.2861007054646,1542.6773406915888
