,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
2,100,megasampler,3,1.5038282076517742,0.02500122148270255,0.0055132706960042315,4.4642389016838996e-05,1.5093414783477783,0.02504579922243298
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
5,500,megasampler,3,13.574636856714884,0.06216901963644285,0.008606592814127604,6.569642105270491e-05,13.583243449529013,0.062141081056971886
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
8,1000,megasampler,3,28.466621319452923,0.06330193284221712,0.01342916488647461,0.0002781502632462881,28.480050484339397,0.06349101617162017
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
11,3000,megasampler,3,90.74132212003072,0.12255191210269063,0.035811265309651695,0.0005198849038882003,90.77713338534038,0.12214993140389367
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
14,7000,megasampler,3,224.92104244232178,0.08078641174795174,0.09336376190185547,0.00022757374969536082,225.01440620422363,0.08090853868275984
