,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,0.22875110308329263,0.004916565928634507,0.0013070106506347656,0.00017237646780889917,0.2300581137339274,0.005047805342523097
1,100,cmsgen,3,0.21741541226704916,0.013272156581275153,0.0012665589650472004,0.00010252356214974763,0.21868197123209634,0.013344998909461562
2,100,megasampler,3,493.18439467748004,4.600880178912419,0.0013398329416910808,4.180483939617653e-05,493.18573451042175,4.60091707817804
3,500,spur,3,0.2588650385538737,0.004440036410900668,0.003057559331258138,1.0521678392687076e-05,0.26192259788513184,0.004442971211622946
4,500,cmsgen,3,0.24881060918172201,0.005687490502125937,0.003092209498087565,0.00013629764578078414,0.25190281867980957,0.00563928484026821
5,500,megasampler,3,600.0135552088419,0.019169960185099012,0.0009737014770507812,0.0013770218345479299,600.014528910319,0.020546982019646942
6,1000,spur,3,0.27529430389404297,0.0036544731727989966,0.005090236663818359,1.65055008646683e-05,0.28038454055786133,0.00363797321604156
7,1000,cmsgen,3,0.3044297695159912,0.02698684901512502,0.005813280741373698,0.00043510192407513604,0.3102430502573649,0.027329664742549498
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,0.4399065176645915,0.008715915755091709,0.01704255739847819,0.0002443370808909252,0.45694907506306964,0.008894467599908496
10,3000,cmsgen,3,0.547547976175944,0.006897431789407265,0.017348289489746094,7.030154974303066e-05,0.5648962656656901,0.00688379745749432
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,0.6239356994628906,0.0048481568472942115,0.044404029846191406,0.007350556959648608,0.668339729309082,0.012198439844607434
13,7000,cmsgen,3,0.9287152290344238,0.0420147620495542,0.03948330879211426,0.0010820394425547866,0.9681985378265381,0.043096766244328996
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
