,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,19.750218629837036,0.4945170887540026,0.012507120768229166,0.00014909841340522595,19.762725750605266,0.49465873766790736
2,100,megasampler,3,600.0206806659698,0.029246878293467674,0.004088401794433594,0.0057818732661184865,600.0247690677643,0.03502875155958616
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,32.985010862350464,0.4259729338620406,0.020486990610758465,0.0001664119933684671,33.00549785296122,0.4258704067900876
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,51.12386544545492,0.2650079068695774,0.032821257909139,0.000560275691000525,51.15668670336405,0.2655587559242222
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,122.90875498453777,3.007705589899699,0.09494543075561523,0.00043927551866370366,123.00370041529338,3.007929555027298
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,274.11960832277936,10.129374774851616,0.2439087231953939,0.01625936022251647,274.36351704597473,10.145343254704041
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
